number,name,address,bike_stands,available_bike_stands,available_bikes,latitude,longitude,last_update,status,ligne_tc
83,083-MILLERAND,"9, boulevard Alexandre Millerand - 28, boulevard Georges Pompidou",14,13,1,47.2081996450388,-1.53018043595997,2023-06-19T14:31:45+00:00,OPEN,26 - 5 - LS
49,049-DUCHESSE ANNE,"2, place de la Duchesse Anne",15,15,0,47.2167,-1.547253,2023-06-19T14:32:16+00:00,OPEN,1 - 4
61,061-LIEU UNIQUE,"23, quai Ferdinand Favre",15,8,7,47.2155914639598,-1.54590593911211,2023-06-19T14:32:57+00:00,OPEN,4 - 54 - C2 - C3 - LS - NA
21,021-TALENSAC SUD,"6, rue Talensac",16,3,13,47.2211433291291,-1.55647633932779,2023-06-19T14:32:25+00:00,OPEN,12 - 23 - C2 - LO
105,105-HANGAR À BANANES,Boulevard des Antilles - quai Président Wilson - Grue Titan Grise,15,10,5,47.199408,-1.573184,2023-06-19T14:32:06+00:00,OPEN,N2
66,066-CHANZY,"Face au 23, avenue Chanzy",15,8,6,47.2254298853335,-1.54799992590737,2023-06-19T14:36:09+00:00,OPEN,C6
121,121-VICTOR RICHARD,"12, place Victor Richard",15,8,7,47.228614,-1.533329,2023-06-19T14:36:48+00:00,OPEN,
72,072-BELLAMY-GUÉ MOREAU,"138, rue Paul Bellamy",15,6,9,47.2286256905746,-1.56180639301113,2023-06-19T14:36:51+00:00,OPEN,12 - 23 - C2 - LO
106,106-GARENNES,"2, rue des Garennes",15,6,8,47.202127,-1.5787,2023-06-19T14:36:22+00:00,OPEN,
112,112-PÔLE SOCIAL MARION CAHOUR,"10, rue Marion Cahour - REZÉ",15,7,7,47.188684,-1.567201,2023-06-19T14:35:32+00:00,OPEN,30 - LS
77,077-ÉCOLE D'ARCHITECTURE,"6, quai François Mitterrand",32,5,27,47.2076056402121,-1.55753246791432,2023-06-19T14:37:14+00:00,OPEN,
87,087-ANATOLE FRANCE,"41, rue Alexandre Dumas - Place Anatole France",15,8,7,47.2236048153991,-1.57137357811241,2023-06-19T14:36:38+00:00,OPEN,26 - 54
45,045-PRAIRIE AU DUC,"25, boulevard de la Prairie au Duc",13,12,1,47.2047839355992,-1.55892310936669,2023-06-19T14:36:17+00:00,OPEN,5 - LN - LO - LS
122,122-MITRIE,"5, route de Sainte Luce",15,11,4,47.22865,-1.526193,2023-06-19T14:37:11+00:00,OPEN,10 - 11 - 12
78,078-DE GAULLE,"7, rue Françoise Giroud - Boulevard Général de Gaulle",21,12,8,47.2084436771829,-1.54051448829019,2023-06-19T14:35:23+00:00,OPEN,4
118,118-ÉGALITÉ,Boulevard Léon Jouhaux,14,9,4,47.209661,-1.589002,2023-06-19T14:36:10+00:00,OPEN,1 - LO
41,041-BRUNELIÈRE,"88, quai de la Fosse",15,8,7,47.208905,-1.56823,2023-06-19T14:36:49+00:00,OPEN,1 - 11 - LO
111,111-DIDEROT,Avenue de la Vendée - Face à l'Espace Diderot - REZÉ,21,12,8,47.184491,-1.562532,2023-06-19T14:36:13+00:00,OPEN,2 - 3 - 30 - 33 - LS
11,011-CALVAIRE,"8, rue du Calvaire - Place des Volontaires de la Défense Passive",15,6,9,47.2155789424271,-1.56067528370012,2023-06-19T14:36:30+00:00,OPEN,23 - 26 - 54 - C1 - C3 - C6
107,107-MOUTONNERIE,Rue Francisco Ferrer,15,10,5,47.219901,-1.532947,2023-06-19T14:37:09+00:00,OPEN,1
