stop_id,stop_name,stop_lat,stop_lon,ligne
BOLL,Bois Tillac,47.20024463,-1.77122484,"[{'numLigne': '128'}, {'numLigne': '148'}, {'numLigne': 'E8'}]"
BOND,Bonde,47.22261834,-1.55214517,"[{'numLigne': '2B'}, {'numLigne': 'C1'}, {'numLigne': 'C6'}, {'numLigne': 'LC'}, {'numLigne': 'LN'}]"
BORL,Bourrelière,47.1583135,-1.49835581,[{'numLigne': '47'}]
BOSI,Boissière,47.25512278,-1.56575384,"[{'numLigne': '126'}, {'numLigne': '2'}, {'numLigne': '2B'}, {'numLigne': '96'}]"
BOTI,Boutière,47.15724784,-1.4680428,[{'numLigne': '47'}]
BOUE,Bio Ouest Laënnec,47.23270638,-1.64187191,[{'numLigne': '93'}]
BOVR,Bouvre,47.17821183,-1.61311926,[{'numLigne': '36'}]
BPTY,Boulay Paty,47.22881389,-1.57665988,[{'numLigne': '10'}]
BRAG,Bois Raguenet,47.26664252,-1.6004679,"[{'numLigne': '109'}, {'numLigne': '179'}, {'numLigne': '79'}, {'numLigne': '89'}]"
BRBI,Bois Robillard,47.2351455,-1.51973294,"[{'numLigne': '11'}, {'numLigne': '1B'}]"
BRCH,Bréchetière,47.28477709,-1.50332935,[{'numLigne': '95'}]
BRDI,Briandière,47.18970915,-1.69205782,"[{'numLigne': '138'}, {'numLigne': '158'}, {'numLigne': '78'}]"
BRET,Bretonnière,47.16651436,-1.46289052,"[{'numLigne': '102'}, {'numLigne': '112'}, {'numLigne': '122'}, {'numLigne': '192'}, {'numLigne': '97'}]"
BRGA,Beauregard,47.21002642,-1.6569726,"[{'numLigne': '50'}, {'numLigne': '91'}, {'numLigne': 'NBI'}]"
BRIN,Brains,47.17075177,-1.7188987,"[{'numLigne': '118'}, {'numLigne': '98'}]"
BRLA,Brouillard,47.27313261,-1.51493135,"[{'numLigne': '115'}, {'numLigne': '75'}]"
BRLN,Berlin,47.21648924,-1.53623353,"[{'numLigne': '5'}, {'numLigne': 'C3'}, {'numLigne': 'LS'}]"
BRNI,Baronnière,47.25949964,-1.60391082,"[{'numLigne': '116'}, {'numLigne': '179'}, {'numLigne': '50'}, {'numLigne': '79'}]"
BROS,Brossais,47.16258113,-1.58555429,[{'numLigne': '38'}]
BRTA,Bretagne,47.21709924,-1.55822138,[{'numLigne': '3'}]
BRUN,Bruneau,47.2283306,-1.56168361,"[{'numLigne': '12'}, {'numLigne': '23'}, {'numLigne': '2B'}, {'numLigne': 'C2'}, {'numLigne': 'LO'}]"
BRVI,Boris Vian,47.1531628,-1.68363101,[{'numLigne': '88'}]
BSAN,Bobby Sands,47.22988866,-1.65303418,"[{'numLigne': '111'}, {'numLigne': '93'}]"
BSEJ,Beauséjour,47.23837392,-1.58688119,"[{'numLigne': '12'}, {'numLigne': '3'}, {'numLigne': '3B'}, {'numLigne': '59'}, {'numLigne': '79'}, {'numLigne': '89'}, {'numLigne': '96'}, {'numLigne': 'C20'}, {'numLigne': 'LO'}]"
BSIS,Bossis,47.21251451,-1.71214987,"[{'numLigne': '91'}, {'numLigne': 'E1'}]"
BSNI,Bussonnière,47.26972263,-1.4437646,"[{'numLigne': '105'}, {'numLigne': '135'}, {'numLigne': '77'}, {'numLigne': 'C7'}]"
BSOL,Beau Soleil,47.1776619,-1.64478281,[{'numLigne': '78'}]
BSTI,Bastière,47.14834812,-1.45935784,[{'numLigne': '47'}]
BSYS,Bois St-Lys,47.30043222,-1.48208043,"[{'numLigne': '85'}, {'numLigne': '95'}]"
BTAI,Brétinais,47.22170065,-1.66577687,[{'numLigne': '71'}]
BTCY,Lycée Bois Tillac,47.20343111,-1.77027988,[{'numLigne': '148'}]
BTEC,Bretéché,47.22525856,-1.54863519,"[{'numLigne': '2B'}, {'numLigne': 'C1'}, {'numLigne': 'C6'}]"
BTIE,Bottière,47.24023431,-1.51838071,[{'numLigne': '11'}]
BTLE,Bouteillerie,47.2214697,-1.54346856,"[{'numLigne': '11'}, {'numLigne': '12'}]"
BTRA,Bertrand,47.25712789,-1.5756898,[{'numLigne': 'C2'}]
BUGA,Bugallière,47.25990949,-1.63790318,"[{'numLigne': '119'}, {'numLigne': '129'}, {'numLigne': '139'}, {'numLigne': '189'}, {'numLigne': '89'}]"
BULA,Butte des Landes,47.1608075,-1.49378067,[{'numLigne': '47'}]
BUON,Bougon,47.17424115,-1.6107129,"[{'numLigne': '36'}, {'numLigne': '78'}, {'numLigne': '88'}]"
BUSS,Buisson,47.26062797,-1.48743916,"[{'numLigne': '135'}, {'numLigne': '87'}]"
BVDI,Bouvardière,47.238432,-1.59839097,"[{'numLigne': '54'}, {'numLigne': '59'}]"
BVER,Bouvernière,47.23761711,-1.6116879,"[{'numLigne': '59'}, {'numLigne': '89'}]"
BVOI,Beauvoir,47.17851239,-1.6305789,"[{'numLigne': '36'}, {'numLigne': '78'}]"
BYCE,Centre de Bouaye,47.14396012,-1.6917859,"[{'numLigne': '88'}, {'numLigne': '98'}]"
